# Structural test suites — suites whose assertions read repo source/doc text.
# GENERATED by scripts/classify-tests.ts; freshness-checked in verify.
# Fix misclassifications in the classifier, never by hand-editing rows.
# Columns: file	suite	cases	detector
test/bootstrap-opencode-door.serial.test.ts	opencode door — rendered AGENTS.md pull protocol	1	readFileSync
test/brain-repo-durability.serial.test.ts	hardenBrainRepo	16	readFileSync
test/brain-score-breakdown.test.ts	Bug 11 — BrainHealth type shape	1	bun-file
test/brain-score-breakdown.test.ts	Bug 11 — doctor renders brain_score breakdown	1	doctor-source-helper
test/brain-score-breakdown.test.ts	Bug 11 — orphan_pages is "no inbound links"	3	doctor-source-helper
test/brain-score-breakdown.test.ts	linkable scope — archive pages do not drag the score	3	doctor-source-helper
test/brainstorm-timeout.test.ts	orchestrator entry-point wrap (CV11 single-point classification)	2	bun-file
test/build-llms.test.ts	CLAUDE.md restructure content contracts	5	readFileSync
test/build-llms.test.ts	build-llms generator	7	readFileSync
test/canonical-migration-command.test.ts	canonical migration command (single home: ai/defaults.ts)	5	doctor-source-helper
test/chat-key-plane.test.ts	#3944 both planner surfaces share the helper (source guard)	2	readFileSync
test/check-bootstrap-guards.test.ts	check-grok-pin.sh	10	readFileSync
test/check-bootstrap-guards.test.ts	verify + workflow wiring	6	readFileSync
test/check-update.test.ts	check-update CLI	3	bun-file
test/child-worker-supervisor.test.ts	issue #1801 — restartCurrentChild + killChild liveness fix	3	readFileSync
test/chronicle-extract.test.ts	runChronicleExtract	9	readFileSync
test/claude-cli-recipe.test.ts	claude-cli LanguageModel — abort + error envelopes	13	readFileSync
test/claude-cli-recipe.test.ts	claude-cli LanguageModel — context isolation	2	readFileSync
test/claude-cli-recipe.test.ts	claude-cli LanguageModel — text-only round trip	4	readFileSync
test/claude-cli-recipe.test.ts	claude-cli LanguageModel — tool use	11	readFileSync
test/claude-cli-recipe.test.ts	claude-cli recipe registration	2	readFileSync
test/cli-force-exit-teardown-arming.test.ts	cli.ts — disconnect hard-deadline armed at teardown entry, not before the op body	1	readFileSync
test/cli.test.ts	BigInt-safe output normalization (#2450)	5	readFileSync
test/cli.test.ts	CLI structure	6	readFileSync
test/cli.test.ts	CLI version	2	readFileSync
test/cli.test.ts	ask alias	2	readFileSync
test/codex-plugin-manifest.test.ts	codex mcp.json	3	readFileSync
test/codex-plugin-manifest.test.ts	curated tree membership + scanner guard	5	readFileSync
test/codex-plugin-manifest.test.ts	generator negative fixtures (a guard that cannot fail is not coverage)	9	readFileSync
test/codex-plugin-manifest.test.ts	variant ${def.plugin_name} (persona ${personaName})	5	readFileSync
test/compile-view.test.ts	compileView — determinism	3	readFileSync
test/compile-view.test.ts	compileView — source isolation + read errors	3	readFileSync
test/config.test.ts	config source correctness	2	readFileSync
test/connection-resilience.test.ts	Eng-review D3 — executeRaw has no per-call retry wrapper	3	readFileSync
test/contextual-retrieval-service-pure.test.ts	inline import contextual synopsis containment	1	readFileSync
test/conversation-facts-type-allowlist-drift.test.ts	(file-level)	17	readFileSync
test/cycle-abort.test.ts	#1972 — complete cooperative-abort coverage	3	readFileSync
test/cycle-abort.test.ts	CycleOpts.signal contract (v0.20.5)	4	readFileSync
test/cycle-abort.test.ts	autopilot-cycle handler contract (v0.20.5)	3	readFileSync
test/cycle-drain-renewal.test.ts	db-lock heartbeat wiring (structural — issue #6 cancellation)	1	readFileSync
test/cycle-drain-renewal.test.ts	drain-loop wiring (structural — the shape guard only covers worker.ts)	1	readFileSync
test/cycle-pack-gating.test.ts	#2117: pack-gated skip summaries are actionable	2	readFileSync
test/cycle-pack-gating.test.ts	v0.41 T9 R-GATE: NEEDS_LOCK_PHASES contract (source-shape)	2	readFileSync
test/cycle-pack-gating.test.ts	v0.41 T9 R-GATE: dispatch result envelope	2	readFileSync
test/cycle-pack-gating.test.ts	v0.41 T9 R-GATE: orchestrator dispatch wires the pack-gate	5	readFileSync
test/cycle-pack-gating.test.ts	v0.41 T9 R-GATE: pre-existing 17 core phases always run	3	readFileSync
test/cycle-patterns-deadline-budget.test.ts	deadline plumbing wiring (structural)	7	readFileSync
test/cycle-patterns.test.ts	patterns phase wiring	9	readFileSync
test/cycle-patterns.test.ts	patterns scope filter	7	readFileSync
test/cycle-phase-deadline-drift.test.ts	propose_takes deadline < job timeout (#4168)	4	readFileSync
test/cycle/cycle-lock-ttl.test.ts	cycle lock TTL (T2 regression pin)	1	readFileSync
test/destructive-guard.test.ts	FK-RESTRICT lifecycle (clientsReferencingSource + purge skip)	9	readFileSync
test/destructive-guard.test.ts	assessDestructiveImpact	5	readFileSync
test/destructive-guard.test.ts	formatters (display helpers)	4	readFileSync
test/destructive-guard.test.ts	purgeExpiredSources — clone cleanup containment	1	readFileSync
test/detached-stderr.test.ts	jobs.ts detach branch (source pin, #4418)	2	readFileSync
test/doctor-embedding-env-override.test.ts	cross-surface parity (source-grep regression guard)	1	doctor-source-helper
test/doctor-fix.test.ts	gbrain doctor --fix CLI integration	3	readFileSync
test/doctor-frontmatter-partial.test.ts	doctor frontmatter_integrity — load-bearing render strings	5	doctor-source-helper
test/doctor-frontmatter-partial.test.ts	doctor frontmatter_integrity — structural rendering (source-grep)	6	doctor-source-helper
test/doctor-orphan-ratio.test.ts	cross-surface parity contract	3	doctor-source-helper,readFileSync
test/doctor-orphan-ratio.test.ts	runOrphanRatioCheck — thin-client surface (D11)	1	readFileSync
test/doctor-schema-column-diff.test.ts	doctor schema_version wires the column diff (#4421)	1	doctor-source-helper
test/doctor-supervisor-singleton-pidfile.test.ts	doctor supervisor_singleton — honors the recorded pid_file (custom --pid-file)	2	doctor-source-helper
test/doctor-supervisor-singleton-pidfile.test.ts	doctor supervisor_singleton — pid_file fallback (source-grep)	1	doctor-source-helper
test/doctor-volunteer-channels.test.ts	checkVolunteerChannels	9	doctor-source-helper,readFileSync
test/doctor-wedged-queue.test.ts	issue #1801 fix #3 — remote queue_health state→status regression	1	doctor-source-helper
test/doctor.test.ts	BUG 4 — in-progress sync via live lock, not stale freshness	8	doctor-source-helper
test/doctor.test.ts	doctor command	34	doctor-source-helper
test/doctor.test.ts	issue #972 — link_resolution_opportunity check	8	doctor-source-helper
test/doctor.test.ts	stub_guard_24h check (v0.34.5)	5	doctor-source-helper
test/doctor.test.ts	supervisor crash classifier wiring (v0.35.x)	4	bun-file,doctor-source-helper
test/doctor.test.ts	sync_freshness — clone-unavailable content-lag fallback	6	doctor-source-helper
test/doctor.test.ts	v0.31.8 — wedge migration force-retry hint (D19)	4	doctor-source-helper
test/doctor.test.ts	v0.32.4 — sync_freshness check	12	doctor-source-helper
test/doctor.test.ts	v0.40.4 — graph_signals_coverage check	7	doctor-source-helper
test/doctor.test.ts	v0.41.27.0 — sync_freshness git short-circuit	9	doctor-source-helper
test/doctor.test.ts	v0.41.32.0 — commit-relative staleness	5	doctor-source-helper
test/doctor.test.ts	v0.42 (#1699) — quarantined_pages + flagged_pages checks	1	doctor-source-helper
test/dream-cli-flags.test.ts	--drain wiring	4	readFileSync
test/dream-cli-flags.test.ts	--once wiring (issue #2860)	5	readFileSync
test/dream-cli-flags.test.ts	--source / --source-id wiring (v0.41.13)	9	readFileSync
test/dream-cli-flags.test.ts	dream CLI flag wiring	9	readFileSync
test/dry-fix.test.ts	autoFixDryViolations	12	readFileSync
test/e2e/bootstrap-real-codex.serial.test.ts	bootstrap rendered protocol — ambient boundaries (always runs)	4	readFileSync
test/e2e/codex-plugin-install-real.serial.test.ts	(file-level)	2	readFileSync
test/e2e/migration-flow.test.ts	(file-level)	4	readFileSync
test/e2e/openclaw-reference-compat.test.ts	OpenClaw reference workspace compat (W1 + W2 + W3)	8	readFileSync
test/e2e/skillpack-flow.test.ts	skillpack flow (E2E)	17	readFileSync
test/e2e/workspace-generic-compat.test.ts	generic agent-workspace compat (INSTALL_FOR_AGENTS.md flow)	6	readFileSync
test/embedding-dim-check-facts.test.ts	doctor checkFactsEmbeddingWidthConsistency wiring (T6)	4	doctor-source-helper
test/eval-brainbench-e2e.test.ts	--llm availability gate	1	exec-scan
test/eval-brainbench-e2e.test.ts	privacy guard violation branches (negative path)	1	exec-scan
test/eval-brainbench-e2e.test.ts	render-brainbench-delta.ts (the CI step-summary block)	2	exec-scan
test/eval-brainbench-e2e.test.ts	run-all once-per-sweep semantics (decision 16)	1	exec-scan
test/eval-capture-db-plane.serial.test.ts	eval.capture set on the DB plane reaches the runtime gate (#1475)	9	bun-file
test/eval-synthesize-concepts-routing.test.ts	dispatch-layer source pins (routing can’t regress silently)	2	readFileSync
test/eval-synthesize-concepts-routing.test.ts	subprocess smoke — end-to-end routing	1	readFileSync
test/exit-classification.test.ts	consumer wire-up — helper used by all 3 sites (no inline filters left)	5	doctor-source-helper,readFileSync
test/extract-atoms-drain.test.ts	extract-atoms-drain Minion handler retries on provider_failure (issue #3218)	2	readFileSync
test/extract-atoms-drain.test.ts	shared wiring helper holds the cycle lock (5A)	2	readFileSync
test/extract-workers.test.ts	extract.ts → workers wiring (T7)	10	readFileSync
test/facts-backstop-remedy-verb.test.ts	facts backstop thin-client-fallback remedy verb (#4489)	3	readFileSync
test/features.test.ts	CLI routing	2	bun-file
test/fence-extraction.test.ts	Layer 8 D2 — markdown fence extraction	18	readFileSync
test/filing-rules-resolution.serial.test.ts	per-source filing-rules resolution	3	readFileSync
test/fix-wave-structural.test.ts	#2084 — cli.ts owns process-exit teardown via finishCliTeardown	4	readFileSync
test/fix-wave-structural.test.ts	#2955 — sync multi-source repoPath routes through msysToNativePath	1	readFileSync
test/fix-wave-structural.test.ts	WAL-repair wave structural pins (#223/#2575)	4	readFileSync
test/fix-wave-structural.test.ts	five-issue fix wave — integrity progress is (source_id, slug)-keyed	1	readFileSync
test/fix-wave-structural.test.ts	v0.36.1.x #1077 — admin register-client supports PKCE public clients	1	readFileSync
test/fix-wave-structural.test.ts	v0.36.1.x #1090 — admin embed two-tier resolution	3	readFileSync
test/fix-wave-structural.test.ts	v0.36.1.x #1124 — query --no-expand actually negates expand	1	readFileSync
test/fix-wave-structural.test.ts	v0.41.37.0 #1605 — v0.11.0 phaseASchema routes in-process for ALL engines	2	readFileSync
test/fix-wave-structural.test.ts	v0.41.8.0 #1340 — PGLite WASM init classifier	2	readFileSync
test/fix-wave-structural.test.ts	v0.42.20.0 — background-work registry drains every sink before disconnect	9	readFileSync
test/fix-wave-structural.test.ts	v0.42.20.0 — search-cache drained via the background-work registry	1	readFileSync
test/fix-wave-structural.test.ts	v0.42.43.0 #2095 — volunteer-events sink + cycle purge wiring (structural pins)	2	readFileSync
test/hook-command.serial.test.ts	user-prompt	14	readFileSync
test/integrations-install.test.ts	installRecipeIntoHostRepo — happy path	6	readFileSync
test/integrations.test.ts	CLI integration	3	readFileSync
test/jobs-embed-background-parity.serial.test.ts	embed job background parity (D7)	2	readFileSync
test/jobs-gateway-refresh-set.test.ts	#3387 — GATEWAY_REFRESH_JOB_NAMES ⇔ registerBuiltinJob call sites	5	readFileSync
test/jobs-list-get-json.serial.test.ts	help advertises --json on list/get/stats (#3685)	2	readFileSync
test/jobs-thin-client-date-rehydration.test.ts	thin-client unpack sites route through rehydrateJobDates (source audit)	2	readFileSync
test/jobs-worker-startup-recovery.test.ts	work-handler recovery placement (structural)	1	readFileSync
test/migrate-stdout-clean.test.ts	migration output stays off stdout	2	readFileSync
test/migrate.test.ts	PR #356 + #363 — session timeouts applied via startup parameters	1	readFileSync
test/migrate.test.ts	PR #356 — LATEST_VERSION is max(versions), not array[-1]	2	readFileSync
test/migrate.test.ts	PR #356 — apply-migrations pre-flight schema-version warning	1	readFileSync
test/migrate.test.ts	PR #356 — non-transactional DDL runs via reserved connection	1	readFileSync
test/migrate.test.ts	migrate runner v67 — typed-claim columns materialized on PGLite	3	readFileSync
test/migrate.test.ts	migrate v14 — pages_updated_at_index (handler-based, engine-aware)	2	readFileSync
test/migrate.test.ts	migrate v20 — sources_table_additive	6	readFileSync
test/migrate.test.ts	migrate v23 — files_source_id_page_id_ledger	6	readFileSync
test/migrate.test.ts	migrate v36 — subagent_provider_neutral_persistence_v0_27	7	readFileSync
test/migrate.test.ts	migrate v66 — embed_stale_partial_index (D6)	4	readFileSync
test/migrate.test.ts	migrate v89 — round-trip on PGLite	4	readFileSync
test/migrate.test.ts	migrate — DROP INDEX CONCURRENTLY invalid-remnant cleanup (#1178, file-wide)	3	readFileSync
test/migrate.test.ts	migrate — runner behavioral (v14 handler + v15 backfill)	2	readFileSync
test/migrate.test.ts	migrate: v9 (timeline_dedup_index) regression — must be fast on 200 duplicate rows	1	readFileSync
test/migrate.test.ts	migration v49 — eval_takes_quality_runs (v0.32)	6	readFileSync
test/migrate.test.ts	resolvePoolSize — env var + explicit override	4	readFileSync
test/migrate.test.ts	resolveSessionTimeouts — env var overrides	5	readFileSync
test/migrate.test.ts	v117 — context_volunteer_events_table	5	readFileSync
test/migration-orchestrator-v0_46_3.serial.test.ts	v0.46.3 orchestrator behavior	4	readFileSync
test/migration-resume.test.ts	Bug 3 — orchestrator no longer writes the ledger directly	6	bun-file
test/migrations-v0_11_0.test.ts	AGENTS.md marker injection	6	readFileSync
test/migrations-v0_11_0.test.ts	cron manifest rewrite — gbrain builtins only	8	readFileSync
test/migrations-v0_14_0.test.ts	Bug 5 + Bug 8 — v0_14_0 module shape	3	bun-file
test/migrations-v0_14_0.test.ts	Bug 5 — Phase B host-work entry dedup	2	readFileSync
test/migrations-v0_14_0.test.ts	Bug 8 — max_stalled default bumped in schema files	3	bun-file
test/migrations-v0_22_4.test.ts	v0.22.4 migration (B11)	9	readFileSync
test/model-pricing.test.ts	no heavy import (cycle guard)	1	readFileSync
test/models-doctor-embed.test.ts	models doctor — embedding reachability probe (v0.40.x)	3	readFileSync
test/ocr-run-budget.test.ts	doctor ocr_health surfaces the budget-skip counter (#3973)	1	doctor-source-helper
test/openclaw-plugin-manifest.test.ts	bundled-skill reference closure (nothing bundled points at a non-bundled skill)	1	readFileSync
test/openclaw-plugin-manifest.test.ts	plugin membership curation (skills = plugin ∪ exclusions, disjoint)	9	readFileSync
test/openclaw-plugin-manifest.test.ts	root OpenClaw plugin manifest	2	readFileSync
test/pglite-engine.test.ts	PGLiteEngine: v0.13.1 error-wrap on connect() (#223)	1	readFileSync
test/pglite-repair-command.serial.test.ts	gbrain pglite-repair — interactive confirm wiring (#4318 residual)	1	readFileSync
test/pglite-wal-repair.serial.test.ts	WAL auto-repair — real-brain regression (#223/#1670/#2575)	6	readFileSync
test/phantom-redirect-per-source-lock.test.ts	phantom-redirect lock contract	3	readFileSync
test/postgres-engine-singleton-ownership.test.ts	postgres-engine / module-singleton ownership (#1471)	7	readFileSync
test/postgres-engine.test.ts	postgres-engine / search date filtering	1	readFileSync
test/postgres-engine.test.ts	postgres-engine / search path timeout isolation	7	readFileSync
test/private-visibility.test.ts	shared private predicate lives once (#4352 remediation)	1	readFileSync
test/readme-hero-anchors.test.ts	README hero anchors (D9 regression guard)	5	readFileSync
test/redos-hardening.test.ts	#1569 --no-schema-pack + heartbeat wiring (structural)	2	readFileSync
test/redos-hardening.test.ts	megawave vm-watchdog removal (bootstrap-verify freeze)	5	readFileSync
test/register-client-source-normalize.test.ts	register-client route wiring (structural)	1	readFileSync
test/regression-strict-source-id.test.ts	cycle reverse-write call sites use the consolidated path	4	readFileSync
test/regression-strict-source-id.test.ts	utils.ts no longer carries an inline permissive regex	2	readFileSync
test/reindex-code-recovery.test.ts	CLI help line (#3970 surface 1)	1	readFileSync
test/release-workflow.test.ts	release.yml ↔ binary-self-update asset contract	10	readFileSync
test/remediation-command-resolution.test.ts	#3697 — remediation text resolves against the live CLI surface	3	readFileSync
test/reranker-default-seam.test.ts	LEGACY_DEFAULT_RERANKER_MODEL seam (#3657)	4	readFileSync
test/resolver.test.ts	RESOLVER.md trigger round-trip (D5/C)	2	readFileSync
test/resolver.test.ts	Skill example-name validator (D13)	4	readFileSync
test/retrieval-reflex-recipe-routing.test.ts	retrieval-reflex recipe routing is MECE with the query skill (#4292)	5	readFileSync
test/schema-cli-contract.test.ts	v0.39 T6 — schema CLI contract	7	readFileSync
test/schema-pack-unify-types-handler.test.ts	#1575 unify-types worker dry-run default	1	readFileSync
test/scripts/classify-tests.test.ts	classify-tests detectors	18	bun-file,doctor-source-helper,exec-scan,readFileSync
test/scripts/coverage-diff-gate.test.ts	exemptions	3	readFileSync
test/scripts/run-verify-parallel.test.ts	guard registration ⇒ execution coverage	1	readFileSync
test/scripts/test-shard.slow.test.ts	test-shard.sh — LPT balance contract	5	readFileSync
test/serve-http-github-webhook.test.ts	handler wiring (source pin)	1	readFileSync
test/serve-http-mcp-transport-cleanup.test.ts	POST /mcp transport cleanup (#2844)	2	readFileSync
test/serve-stdin-eof-drain.test.ts	serve-sync-runner stays off the boot path (#4409)	1	readFileSync
test/skillify-scaffold.test.ts	11-item scaffold contract (T9 + Phase 3 cross-modal eval)	1	readFileSync
test/skillify-scaffold.test.ts	applyScaffold	3	readFileSync
test/skillify-scaffold.test.ts	planScaffold	13	readFileSync
test/skillpack-harness-bridge.test.ts	review-driven hardening (ship pre-landing findings)	5	readFileSync
test/skillpack-harvest.test.ts	addToBundleManifest	1	readFileSync
test/skillpack-harvest.test.ts	runHarvest — happy path	2	readFileSync
test/skillpack-harvest.test.ts	runHarvest — privacy linter integration (T7)	2	readFileSync
test/skillpack-init-brain-pack.test.ts	runInitBrainPack	5	readFileSync
test/skillpack-init-pack.test.ts	runInitScaffold — cathedral default	6	readFileSync
test/skillpack-install.test.ts	managed-block receipt + cumulative semantics (v0.19)	4	readFileSync
test/skillpack-install.test.ts	planInstall + applyInstall	11	readFileSync
test/skillpack-migrate-fence.test.ts	runMigrateFence	8	readFileSync
test/skillpack-scaffold.test.ts	runScaffold — IRON-RULE regressions (R1, R2)	3	readFileSync
test/skillpack-scaffold.test.ts	runScaffold — happy path	3	readFileSync
test/skillpack-scrub-legacy.test.ts	runScrubLegacy	8	readFileSync
test/sources-webhook.test.ts	Webhook sync job extraction contract	1	readFileSync
test/spend-off-switch.test.ts	reindex / onboard off-switch dispatch (regression guards)	3	bun-file
test/supervisor.test.ts	recovery hook timeout bound (structural)	1	readFileSync
test/sync-failures.test.ts	#4543 blocked output names failing files	4	bun-file,doctor-source-helper
test/sync-failures.test.ts	Bug 9 — doctor surfaces sync failures	2	doctor-source-helper
test/sync-failures.test.ts	Bug 9 — sync.ts CLI flag wiring	6	bun-file,doctor-source-helper
test/sync.test.ts	buildSyncManifest	9	bun-file
test/sync.test.ts	isSyncable	8	bun-file
test/sync.test.ts	resolveSlugByPathOrSourcePath (CJK wave v0.32.7, codex F4)	3	bun-file
test/sync.test.ts	sync auto-embed arguments	2	bun-file
test/sync.test.ts	sync regression — #132 nested transaction deadlock	1	bun-file
test/template-repo-generator.test.ts	generateTemplateTree	0	readFileSync
test/template-repo-generator.test.ts	renderTemplateReadme	5	readFileSync
test/thin-client-routing-audit.test.ts	thin-client routing audit — scratch-DB additions (jobs partial dispatch + config refusal)	5	readFileSync
test/thin-client-routing-audit.test.ts	thin-client routing audit — v0.32 REFUSE additions stay in the table	4	readFileSync
test/thin-client-routing-audit.test.ts	thin-client routing audit — v0.32 ROUTE additions wire callRemoteTool	4	readFileSync
test/timing-safe.test.ts	extraction contract	1	readFileSync
test/tool-catalog.test.ts	freshness guard	2	readFileSync
test/transcription-injection.test.ts	transcription — command injection (#245)	2	readFileSync
test/upgrade-skill-publish-prompt-race.test.ts	gbrain upgrade — skill-publish prompt wiring (#4318 residual)	3	readFileSync
test/upgrade.serial.test.ts	detectInstallMethod heuristic (source analysis)	13	readFileSync
test/v0_37_fix_wave.serial.test.ts	v0.37 Lane A — defaults sweep	8	readFileSync
test/v0_37_fix_wave.serial.test.ts	v0.37 Lane B — init paths	3	readFileSync
test/v0_37_fix_wave.serial.test.ts	v0.37 Lane C.3 — ZE key reaches buildGatewayConfig	3	readFileSync
test/v0_37_fix_wave.serial.test.ts	v0.37 Lane D.2 — embed pre-flight dim mismatch	1	readFileSync
test/v0_37_fix_wave.serial.test.ts	v0.37 Lane D.4 — sync --help dispatch	1	readFileSync
test/v0_37_fix_wave.serial.test.ts	v0.37 deferred TODO shipped — gbrain reinit-pglite	3	readFileSync
test/v0_37_gap_fill.serial.test.ts	Lane A.7 — chunk-row INSERT default tracks the gateway-resolved model	1	readFileSync
test/v0_37_gap_fill.serial.test.ts	Lane B — init precedence chain (CLI > env > existing file > default)	1	readFileSync
test/v0_37_gap_fill.serial.test.ts	Lane C.3 — env ZEROENTROPY_API_KEY merges into loadConfig	2	readFileSync
test/v0_37_gap_fill.serial.test.ts	Lane D.2 — embed pre-flight catches dim mismatch before worker pool	2	readFileSync
test/v0_37_gap_fill.serial.test.ts	Lane D.3 — sync surfaces dim-mismatch recipe at incremental AND first-sync catches	2	readFileSync
test/v0_37_gap_fill.serial.test.ts	Lane E.4 — loadRecommendationContext is provider-aware	1	readFileSync
test/v0_37_gap_fill.serial.test.ts	reinit-pglite — backup + reinit	7	readFileSync
test/voyage-response-cap.test.ts	v0.31.8 — voyage Content-Length pre-check + per-item cap	6	bun-file
test/worker-supervised-db-probe.test.ts	issue #1801 fix #2 — supervised DB self-defense	5	readFileSync
